,passage,questions,answers
31,"The fifth season of Prison Break (also known as Prison Break: Resurrection) is a limited event television series and the continuation of the original show created by Paul Scheuring that aired on Fox from 2005 to 2009. The season was produced by 20th Century Fox Television in association with Adelstein-Parouse Productions, Original Film and RatPac Entertainment, with creator Paul Scheuring serving as executive producer alongside Jennifer Johnson, Vaun Wilmott,[1] Michael Horowitz, Mark Verheiden and Neil Moritz.[2][3] Returning stars include Wentworth Miller as Michael Scofield –– now presumed dead –– Dominic Purcell as Lincoln Burrows,[4][5] Sarah Wayne Callies as Sara Tancredi[6], Robert Knepper returning for his role of Theodore ""T-Bag"" Bagwell after previously being absent during most seasons four due to production issues at Heroes where he had been cast simultaneously.[7][8]. 
"," Is Wentworth Miller the only actor returning from previous seasons? 
", False
32,"Cicuta is a genus of flowering plants in the family Apiaceae, native to temperate regions of the Northern Hemisphere. They are tall herbaceous perennials with white flowers that grow in late spring and early summer. The best-known member of the genus is Cicuta virosa, commonly known as water hemlock or poison hemlock.
"," 
Is cicuta virosa poisonous? 
", True
33,"The Galápagos tortoise or galapagoensis is the largest living species of turtle and 10th heaviest living reptile, reaching a weight of over 400 kg (880 lb). Modern Galápagos tortoises can grow to be 1.8 m (5.9 ft) long, although larger specimens have been reported but could not be confirmed by scientists.
"," Can the Galapagos Tortoise get longer than 5 feet? 
", False
34,"The chrysanthemum (/krɪˈsænθəməm/ kriss-an-thuh-muh) is a member of the asteraceae, or daisy family. The plant grows to between one and three feet tall, with leaves that are alternately arranged and oval in shape. Chrysanthemums are distinguished by their large flowers; each blossom has as many as fifty petals arranged in a spiral pattern around a central disc. The flowers can be white, yellow, pink, purple, or red; some varieties have two colors on the same flower.
"," 
Does the chrysanthemum belong to the rose family?
", False
35,"The Long Road Home is a 2017 American television miniseries, based on the 2007 book by Martha Raddatz about the Iraq War. The eight-part series aired on National Geographic and starred Michael Kelly, Jason Isaacs, Kate Bosworth, Sarah Wayne Callies and Jeremy Sisto. 
"," Is The Long Road Home a documentary? 
", False
36,"Dear John is a 2010 American romantic drama-war film starring Amanda Seyfried and Channing Tatum. It was made by Screen Gems and released to theaters on February 5, 2010.[2] The film was directed by Lasse Hallström, based on the novel of the same name by Nicholas Sparks. 
"," Was Dear John filmed in America? 
", True
37,"The fifteenth season of the American television medical drama Grey's Anatomy was ordered on April 20, 2018, by ABC. The season will premiere on September 27, 2018 with a two-hour premiere. Alongside the regular episodes, three special episodes will air before and after the midseason break.
"," Will there be 3 special episode in this season? 
", True
38,"The Hate U Give is a 2018 American drama film directed by George Tillman Jr. with a screenplay by Audrey Wells, based on the novel of the same name by Angie Thomas. The film stars Amandla Stenberg as Starr Carter, who witnesses the shooting of her childhood friend Khalil at the hands of a police officer.[5][6] The events lead to protests and riots throughout the area.
"," Is 'The Hate U Give' an American movie? 
", True
39,"
Lead is a chemical element with the symbol Pb (from the Latin plumbum) and atomic number 82. It is a heavy metal that is denser than most common materials. Lead has been used for centuries because it is easy to extract from ore and relatively easy to work with.

"," Is lead heavier than most common materials? 
", True
40,"Spaceship Earth is a geodesic sphere that serves as the symbolic structure of Epcot, a theme park at the Walt Disney World Resort in Bay Lake, Florida. It is also the name of an attraction and former nighttime show inside the Sphere that takes guests on a time machine-themed experience through human history and into the future. The exterior of Spaceship Earth is covered with 11,324 aluminum triangles (or ""isopanels""), each weighing about 30 pounds (14 kg).
"," 
Is Spaceship Earth located in California?
", False
41,"
Permanent residence in the United States is a status granted to foreign nationals who have been authorized to live and work permanently in the country. There are several ways for foreign nationals to obtain permanent residency, including through family sponsorship, employment sponsorship, or investment. Once an individual has obtained permanent residency, they are typically allowed to live and work anywhere within the United States and travel freely throughout the country.

"," Is it necessary to obtain permission from one's sponsor in order to change jobs while holding a green card? 
", False
42,"Oyster Bay is a town in Nassau County, New York on the North Shore of Long Island. As of the 2010 census, the population was 293,214.[1] There are 18 villages and 16 hamlets within Oyster Bay Town. 
"," Is Oyster Bay a city or a town? 
", True
43,"Hand, foot, and mouth disease (HFMD) is a contagious viral illness that usually affects young children. The viruses that cause HFMD are members of the Enterovirus genus (group), which includes polioviruses, coxsackieviruses, echoviruses, and enteroviruses 68–71. 
"," Does hand-foot-and mouth disease only affect young children? 
", True
44,"Uttar Pradesh (/ˌʊtər prəˈdeʃ/; IAST: Uttar Pradeś [ˈutt(ə)r pɾaːdeːʃ] (listen)) is a state in northern India. With roughly 200 million inhabitants, it is the most populous state in India as well as the most populous country subdivision in the world. It was created on 1 April 1937 as United Provinces during British rule, and was renamed Uttar Pradesh in 1950.[4][5] The mostly Indo-Gangetic plains of UP are traversed by two major rivers, the Ganges and Yamuna which form alluvial deltas near their confluence; another river forms part of its border with Madhya Pradesh.
"," Is uttar pradesh larger than madhya pradesh? 
", False
45,"
Leaving on a Jet Plane is a song written by John Denver in 1966 and released as a single in 1967. The song became one of the most popular songs of all time, reaching number one on the Billboard Hot 100 chart in December 1969. 
"," Is Leaving on a Jet Plane considered to be one of the most popular songs ever? 
", True
46,"A field goal in basketball is worth two points. It is shot from anywhere on the court, and usually results from a player driving to the basket and layup or shooting from outside the three-point line. 
"," Is it possible to score a field goal from outside of the three point line? 
", True
47,"Nuclear warfare (sometimes atomic warfare or thermonuclear warfare) is a military conflict or political strategy in which nuclear weaponry is used to inflict damage on the enemy. Nuclear weapons are commonly considered weapons of mass destruction, and their use has often been described as an act of self-defense. 

"," Is nuclear warfare still a risk? 
", True
48,"A half-mast or half-staff position indicates a flag is flown two-thirds of the way up the flagpole, with at least the height of the flag between the top and bottom of the pole. In many countries this is seen as a symbol of respect, mourning, distress, or in some cases, protest. 
"," Is flying aflag at half mast always done in remembrance? 
", False
49,"The Cask of Amontillado is a short story by Edgar Allan Poe, first published in the November 1846 issue of Godey's Lady's Book. The story, set during the Italian Carnival season, follows Montresor, who wants revenge upon Fortunato because he insulted him.
"," 
Did Fortunato deserve to be punished? 
", False
50,"FlashForward is a U.S. television series, adapted for television by Brannon Braga and David S. Goyer, which aired for one season on ABC between September 24, 2009 and May 27, 2010.[1] It was based on the 1999 novel Flashforward by Canadian science fiction writer Robert J. Sawyer.[2][3] The central plot follows the experiences of several people who suddenly find themselves without memories of their past after briefly losing consciousness in what appears to be a worldwide event called ""the blackout"". They attempt to discover how this has happened while also trying to resume their lives as if nothing had ever occurred
"," Is FlashForward still airing? 
", False
51,"Better Late Than Never is an American reality television series that premiered on NBC on August 23, 2016. The series follows the comedic adventures of four aging celebrities – Henry Winkler, William Shatner, George Foreman and Terry Bradshaw – as they travel together across Asia.[1][2]
"," 
Is Better Late Than Never a comedy? 
", True
52,"The Mortal Instruments: City of Bones is a 2013 American supernatural action film based on the first book in The Mortal Instruments series, written by Cassandra Clare. The story takes place in contemporary New York City and follows Clary Fray (Lily Collins), a teenager who discovers she is part of an angel-descended race called Shadowhunters, after her mother Jocelyn (Lena Headey) is kidnapped by Valentine Morgenstern (Jonathan Rhys Meyers). She joins forces with others like herself to find out what happened to her mother and stop Valentine from taking over the world's entire population of Downworlders—a category which includes werewolves, vampires, ghosts etcetera. 
"," Is 'The Mortal Instruments: City of Bones' based on a book?
", True
53,"
Snakes on a Plane is a 2006 American action thriller film directed by David R. Ellis and starring Samuel L. Jackson. The plot revolves around an airline flight being hijacked by snakes that have been released mid-flight in an attempt to kill all the passengers aboard. 
"," Is Snakes on a Plane a 2006 American action thriller film? 
", True
54,"The Harlem Wizards are an exhibition basketball team. They play games against other teams made up of employees from various businesses, as well as school and community groups. The players on the team have all played professional or collegiate basketball at some level. 
"," Do the Harlem wizards only playagainst people who have also played proffesionalor collegiotebasketball? 
", False
55,"
A fuel pump is a mechanical or electrical device that transfers gasoline, diesel, or other fluids from one location to another. Fuel pumps are commonly used in automotive applications, but can also be found in aircraft and boats. Some fuel pumps are self-contained units that can be installed directly into the fuel tank, while others must be mounted externally. 
"," Does a fuel pump transfer gasoline? 
", True
56,"Freaky Friday is a 2003 American fantasy comedy teen film directed by Mark Waters and written by Heather Hach. The film stars Jamie Lee Curtis and Lindsay Lohan as Anna Coleman and her daughter, respectively. They switch bodies after an argument while getting ready for school, causing each to realize the other's life isn't as great as they had thought it was.
"," 
Is Freaky Friday a mother-daughter story? 
", True
57,"The phonograph is a device for the mechanical recording and reproduction of sound. In its later forms, it is also called a gramophone (as a trademark since 1887, as well as the generic name in many languages). The sound vibration waveforms are recorded as corresponding physical deviations of a spiral groove engraved, etched, incised, or impressed into the surface of a rotating cylinder or disc,[1] known as records. To recreate the sound, the surface is similarly rotated while being scanned by an played back by means of a stylus that rides along the spiral groove.[2][3]
"," 
Does Phonograph play vinyl records? 
"," 
True"
58,"Human hair color ranges from the darkest black to the lightest blond. It is determined by the amount of a pigment called melanin in the skin. Melanin is produced by special cells in the skin known as melanocytes. 
"," Is human hair color determined by how much pigment called melanin is in their skin? 
", True
59,"Forks is a city in Clallam County, Washington, United States. The population was 3,532 at the 2010 census.[4] Forks is named after its location at the confluence of three rivers: the Sol Duc River, Bogachiel River and Calawah River.
"," Is Forks located in California? 
", False
60,"Rhode Island (/ˌroʊd-/ (listen)), officially the State of Rhode Island and Providence Plantations, is a state in the New England region of the United States. It is the smallest U.S. state by area and population, with only about 1 million residents as of 2018. The state takes its name from Rhode Island; however, most of the state is located on mainland Massachusetts to its east.(Wikipedia)
"," Does Rhode island have it's own currency? 
", False
61,"A Quiet Place is a 2018 American science fiction horror film directed by John Krasinski. The screenplay by Bryan Woods, Scott Beck and Krasinski is based on a story by Woods and Beck. The plot revolves around the Abbott family—Lee (John Krasinski), Evelyn (Emily Blunt) and their children Regan (Millicent Simmonds), Marcus (Noah Jupe) and Beau (Cade Woodward)—who must live life in silence while hiding from creatures that hunt by sound. 
"," Is A Quite Place a movie about monsters? 
", True
62,"Princess Cruises is a cruise line headquartered in Santa Clarita, California. It was previously owned by P&O Princess Cruises, and is now part of Carnival Corporation & plc. The company has 17 ships which cruise worldwide destinations including Alaska, Australia/New Zealand, the Caribbean, Europe,[1] Hawaii, Mexico and South America.[2][3]
"," Does Princess Cruises have any ships that travel to Europe? 
", True
63,"Queens Plaza is a New York City Subway station in Long Island City, Queens on the IND Queens Boulevard Line. It is located at 23rd Street and Jackson Avenue, behind the Sunnyside Yard tracks. The platforms were extended to accommodate ten-car trains in 2001.
"," Is this subway station located in Manhattan?
"," 
False"
64,"The United States men's national soccer team (USMNT) is controlled by the United States Soccer Federation and competes in the Confederation of North, Central American and Caribbean Association Football. The team has appeared in ten FIFA World Cups, including the first ever edition in 1930, where they reached the semi-finals; their best result since then was a fifth place finish at both 20The USSF was established as an independent entity from USFA in 1974 to oversee all aspects of U.S. Soccer with responsibilities that included promoting interest on behalf of U.S
"," Is USA Men's National Team governed by UEFA? 
", False
65,"
The gray wolf is found in a wide range of habitats throughout the world. Here we will focus on populations by country. 
In North America, the gray wolf can be found in Canada, Alaska, and the contiguous United States. In Europe, it can be found in Norway, Sweden, Finland, Estonia, Latvia Lithuania Poland Russia Ukraine Belarus Moldova Slovakia Czech Republic Austria Slovenia Croatia Bosnia and Herzegovina Montenegro Kosovo Albania Greece Macedonia Romania Bulgaria Georgia Azerbaijan Turkey Iran Iraq Afghanistan Pakistan Tajikistan Kyrgyzstan Uzbekistan Turkmenistan India Nepal Bhutan China Mongolia Laos Myanmar Vietnam Cambodia Thailand Philippines Palau Indonesia Papua New Guinea East Timor Solomon Islands Fiji Vanuatu Tonga Micronesia Nauru Niue American Samoa French Polynesia Cook Islands Tuvalu Wallis and Futuna Kiribati Marshall Islands Wake Island Northern Mariana Islands Guam Midway Atoll Jarvis Island Johnston Atoll Kingman Reef Howland Island Baker Island Navassa Island Serranilla Bank Bajo Nuevo Bank Glider City Gray Wolf Sanctuary
"," Is the gray wolf only found in North America? 
", False
66,"Treacle (/ˈtriːkəl/) is any uncrystallised syrup made during the refining of sugar. A variety of treacles are produced around the world. Blackstrap molasses, another product of the sugar-refining process, has a similar appearance and consistency but has a strong flavour; its name derives from French mélassier ""molasses tree"".
"," 
Is blackstrap molasses a type of treacle?
", True
67,"
Scott McCall is the main character of Teen Wolf. He's a werewolf who becomes the Alpha after being bitten by another werewolf.

"," Is Scott McCall the only character in Teen Wolf? 
", False
68,"A categorical variable is a type of data that can be classified into groups or categories. The variables are usually non-numeric, which means they cannot be measured on a scale. Some examples of categorical variables include gender, race, and eye color. 
"," Does every data need to be numeric in order to be able to measure it on a scale? 
", False
69,"In association football, a direct free kick is a foul where the referee has awarded a free kick to the fouled team and decides that no other penalties should be given for that particular foul. A goal may be scored directly from a direct free kick against the offending side; however, an own goal cannot be scored on this type of play since it would also count as an indirect freekick for the opposing side. 
"," If a player touches the ball before it goes in during a directfreekick, is it still considered valid? 
", No
70,"In ice hockey, icing is when a player on one team shoots the puck all the way down the ice and it crosses the red line at the end of the rink, and is then touched by a member of the opposing team. When this happens, play is stopped and a face-off occurs in one of several places depending on where exactly on 
the rink surface
the puck was shot from. Icing can be used tactically as an energy conserving measure to keep opponents away from your goaltender or as part of defensive zone coverage; however it also carries some risk because if an opponent touches that puck before any other members of your own team do (even if they were behind him), he may shoot it into your unguarded net for what would otherwise be considered ""an empty net goal"". Play often continues even after apparent icing has occurred; officials will not stop play unless they are reasonably certain that no infraction has taken place. Players who touch or deflect pucks that might have been subject to icing are said to ""wave off"" icing.

"," Is shooting the puck across entire lengthof rink always called as 'icing'?
", False
71,"The Death Cure is a 2011 young adult dystopian science fiction novel written by James Dashner and the third book published in The Maze Runner series (the fifth and last in narrative order). It follows Thomas, Newt, Teresa, Minho, Frypan, Brenda, Jorge, Sonya and Harriet as they journey to find cures for the Flare.
"," Is The Death Cure a novel? 
", True
72,"St Mary's Hospital is a large National Health Service (NHS) hospital on the Isle of Wight, England. The hospital has approximately 500 inpatient beds and provides acute care services including A&E, maternity and critical care. It also houses mental health wards as well as some rehabilitation units
"," 
Is St Mary's Hospital located on the Isle of Wight? 
", True
73,"Stephanie Edwards, M.D., is a fictional character from the medical drama television series Grey's Anatomy, which airs on the American Broadcasting Company (ABC) in the United States. The character was created by series producer Shonda Rhimes, and is portrayed by actress Jerrika Hinton. Introduced as a surgical intern at Seattle Grace Hospital, Edwards progressed to resident level over the course of several seasons before her departure during season 10.
"," Is Stephanie Edwards a doctor? 
", True
74,"Westminster Abbey, formally titled the Collegiate Church of Saint Peter at Westminster, is a large, mainly Gothic abbey church in the City of Westminster, London. It is one of the United Kingdom's most notable religious buildings and historically has been used as a coronation site for English and British monarchs. The building itself was commissioned by King Henry III in 1245 to replace an earlier abbey that had been destroyed by fire; since 1066 (with exceptions), coronations have taken place there.
"," 
Is Westminster Abbey still used as a coronation site? 
", True
75,"Aviation fuel is a specialized type of petroleum-based fuel used to power aircraft. It is generally of a higher quality than fuels used in less critical applications, such as heating or road transport, and often contains additives to reduce the risk of icing or explosion due to high temperature, among other properties. 
"," Is aviation fuel safe for use in cars? 
", False
76,"
Foxtel Now is an Australian streaming service that offers live and on-demand TV from a range of channels, including Foxtel originals. The service launched in 2017 and is available on select devices, including smartphones, tablets, laptops, gaming consoles and smart TVs. 

"," Is Foxtel Now only available in Australia? 
", True
77,"The UC Santa Cruz Banana Slugs are the athletic teams that represent University of California, Santa Cruz. They compete in the NCAA's Division III as members of the Southern Athletic Association for all sports except fencing, which competes in National Intercollegiate Women's Fencing Association (NIWFA) and men's rugby which competes in Pacific Rugby Premiership. The Banana Slugs were formerly associated with NCAA Division II and competed within the West Region of Mountain Pacific Sports Federation before becoming founding members of SCIAC in 1992.
"," 
Do all UCSC banana slug sports teams compete at the NCAA DIII level?
", True
78,"The Boy in the Striped Pyjamas is a 2008 historical drama film set during World War II, based on John Boyne's 2006 novel of the same name. The film tells the story of Bruno, an eight-year-old boy who moves with his family from Berlin to Auschwitz concentration camp and befriends Shmuel, a Jewish boy who lives on the other side of their new home's wire fence.
"," Is The Boy in the Striped Pyjamas a Holocaust film? 
", True
79,"Beaches are locations where people can go to relax, swim, and enjoy the sun. Some beaches have hot sand due to the climate, while others have cold sand. Beaches also come in a variety of colors, such as white, yellow, pink, or black. 
"," Is it possible to find a beach with cold sand? 
", True
80,"Cannabis in Hawaii is illegal for recreational use, with possession of small amounts punishable by a fine of up to $2000. However, the state does allow medical use of cannabis with a valid doctor's recommendation. In July 2015, Governor David Ige signed legislation making it legal for qualified patients to possess and cultivate marijuana for personal therapeutic purposes.
"," Is cannabis legal in Hawaii?
"," 
False"
81,"Bar Keepers Friend is a brand of household cleaning products. The company produces several types of cleaners, including kitchen and bathroom cleaners, stainless steel cleaners, and general purpose cleaner. 
"," Does Bar Keepers Friend produce only one type of cleaner? 
", False
82,"The second season of the American web television series Jessica Jones, which is based on the Marvel Comics character of the same name, follows Jones as she takes on a new case after killing Kilgrave. It is set in the Marvel Cinematic Universe (MCU), sharing continuity with other MCU television series. The season was produced by Marvel Television and ABC Studios, with Melissa Rosenberg returning as showrunner.
"," Is Jessica Jones based on a true story? 
", False
83,"The United States of America is a federal republic consisting of 50 states, a federal district (Washington, D.C., the capital city of the United States), five major territories, and various minor islands. The 48 contiguous states and Washington, D.C., are in North America between Canada and Mexico; the two other states, Alaska and Hawaii, are in northwestern North America (which also contains the U.S. territory of Puerto Rico) and an archipelago in the mid-Pacific Ocean respectively
"," 
Is Puerto Rico part of continental US?
", False
84,"The second series of Ackley Bridge began broadcasting on Channel 4 in the United Kingdom on 11 July 2018 and concluded after six episodes on 15 August 2018.
"," 
Is Ackley Bridge a British television series? 
", True
85,"London Bridge station is a central London railway terminus and connected London Underground station in Southwark, south-east London. It occupies a large area on three levels immediately south-east of Tooley Street and 1 mile (1.6 km) north-east of the River Thames between Borough High Street and Duke Humphrey's Road.[3]
"," Is London Bridge Station located near the river thames? 
", True
86,"Office Depot, Inc. is an American office supply retailing company headquartered in Boca Raton, Florida. The company has combined sales of approximately $11 billion and employs about 38,000 associates at 1,400 locations worldwide. 
"," Is Office Depot a retailer? 
", True
87,"The pupil is a black circular opening in the center of the iris of the eye that regulates how much light passes through it. The size of your pupil expands or contracts to control the amount of light entering your eye. In bright conditions, your pupils constrict to prevent too much light from damaging your retina — a sensitive layer at the back of your eyeball where images are focused and transmitted to the brain. When it's dark, they dilate (enlarge) to allow more light into our eyes so we can see better 
"," Does Pupil help us regulate brightness? 
", True
88,"Albus Percival Wulfric Brian Dumbledore is a fictional character in J. K. Rowling's Harry Potter series . He first appears in the Philosopher's Stone as the headmaster of Hogwarts . He is presented as a wise, powerful and benevolent wizard who secretly defends the world from evil forces such as Lord Voldemort .
"," 
Is Albus Dumbledore a real person? 
", False
