word	sentence1	sentence2
want	 Allan always wanted an iphone.	 Republicans want  to cut taxes Verb
mince	 I can't find the freshly minced herbs.	 That doesn't sound like a very merry Christmas.
rise	 Hot coffee will rise to the top.	 He left because he rose from indifference.
haul	 The robbers hauled the cart of jewels away.	 Since she was too little to cart any supplies, my sister helped by stirring the paint in my cart.
drive	 I used to all the way drive to work.	 We were driving to New York in less than two hours.
thrust	 Thrust cannot act across space.	 Thrust crosses the earth's neck to neck.
ruffle	 Have you seen my coat?	 Her skirt's hem rippled in front of him.
bind	 They bound all the money with paper.	 The caterpillar silk is used to bind the flexible diaphragm of the brass instrument.
stand	 The sky will stand the dark night.	 I need to stand my jacket on.
spin	 Your clothes are spun to create fabric.	 His plans were spinning out of control.
acknowledge	 Humans can acknowledge their feelings.	 I need an acknowledgement of the receipt of the check.
assign	 We offered Daniel the responsibility of assigning the desserts.	 Lisa can't assign post dates to her assignments because she doesn't know the dates.
service	 Please enter your feedback for the service tonight.	 They can't find the service elevator.
know	 It would be impossible to know the cost of it.	 You must know all of any laws that are relevant to your chosen career.
fondle	 I can't stand people who fondle clothes.	 Those ham hocks are too big to fondle.
read	 My grandfather would read to me every night.	 Eat healthily and you will feel better.
fail	 The bridge would fail.	 Your submission will fail.
simplify	 Programs will simplify the difficult aspects.	 They will simplify their designs to reduce costs.
port	 She changed course toward the port.	 The company went out of business because the port was not operational.
think	 The monks thought monks were perfect.	 I want to think that everything will work out.
raise	 The curtains blew in the breeze and I told them to stop raising their voices.	 The news raised concern for going so far.
enter	 Sydney and Travis entered the theatre.	 The new sentence went into effect yesterday.
introduce	 They introduced Romeo and Juliet to one another.	 Now that we're introduced, you can leave.
fix	 Michelle had already finished her third glass of wine when she decided that it would be a good idea to start fixing her guitar.	 I'm sorry for the trouble I caused, but I'm sure it's fixable.
converge	 The clockwise and counter-clockwise rain bands began to converge.	 Shades of the same colors converge in mixed colors.
shift	 You can shift a product platform.	 A storm caused a shift in the balance of power.
drip	 The rain slowed to a feeble drip.	 The number of pints of blood on the floor had increased.
bend	 The crockery needs to be easily bend to pack well.	 High pressure steam could make the molecules of the metal bend.
land	 The plane safely landed.	 Approximations of the landmass gave way to more accurate parts.
mark	 They marked the cardinal directions on the maps.	 He marked off the side on the receipt.
sound	 A sound carries well through the passage.	 Lemonade sounded good, but the grocery store was closed.
consult	 Consult your doctor today.	 Consult the map on how to exit.
avoid	 It is common practice so avoid imminent danger.	 You must avoid hair, fur, and particles of dirt on your printer.
exhaust	 I ask you to exhaust all possible options to resolve the conflict.	 I have never been more exhaust.INTERVAL TRAININGInterval training is a form a physical exercise where a person completes a short bout of high intensity followed by a longer stint
unionize	 International trade unions banned the unionization of domestic workforce in some countries.	 The unionization of some STEM workers is controversial.
choke	 I almost choked on the pizza.	 The engine was being choked so badly it wouldn't start.
convert	 Conversion rates affect company earnings.	 The first rule of microwaving stainless steel is to not convert it.
uncork	 Why didn't you uncork the champagne?	 How will you uncork the wine bottle?
mean	 I meant to call her.	 No significant meteorological detail was meant to be conveyed in the forecast.
puddle	 People put puddles in coastal terrain.	 I once swam in an orphan puddle outside Estonia.
stuff	 She broke the TV and swore a lot, then smuggled the stuff in the back of a pickup truck.	 Last night at the library, I borrowed a book or two and a couple of DVDs.Sentence 1
play	 Wade will play the harp.	 Ball players need to play in the proper position in the field.
spill	 The tissue paper was spilled all over the floor.	 He was spilling wine on the carpet.
insulate	 The new insulation will make the building more habitable.	 We had to insulate the room.
rustle	 Caterpillars rustle through leaves on warm days.	 The rustling of the feldspar rocks made it difficult for the spectroscopist to obtain an interference spectrum.
die	 I stab him and then die with his knife in my hand.	 Elton John died tragically.
concord	 The sentence in this example is in concord.	 The sentence in this example is in concord.
sow	 It takes a lot of courage to sow your own seeds.	 They sow the seeds in the garden.
lift	 As I lifted the paint can onto the ledge, I knew it wouldn't be enough.	 Most people say they cannot lift more than 50 pounds at the most.
prepare	 I like to prepare for any situation.	 No, I didn't prepare for that.
heat	 Heat the pot on the stove.	 Heat eventually escapes from gravitational fields.
application	 I want to make an application for the job.	 I'll send you my application.
house	Sentence 2	Sentence 1
feast	 The feast he prepared was lovely.	 The Feasts of Lights are three days of joy.
tip	 She gave him a tip on what to do next.	 He left her the four percent tip.Sentence 1
procession	 The celebrants process through the aisle with solemn dignity.	 Processions of mourners streamed past the chapel holding their flowers aloft.- The processions of mourners streamed past the chapel holding their flowers aloft.
communication	 Communication has always continued to evolve.	 The problems associated with communication can be difficult at times.
object	 Were any objects recovered?	 They produced an object on an easel.
field	 The field being plowed is barren-looking.	 The field was now his.
baron	 Montesquieu was a French baron.	 She became a baroness, unexpectedly.
call	 Do you want me to call you later?	 Kathy looked up in frustration, stomped out of the room and slammed the door.
reading	 His reading of Dickens is depressingly vulgar.	 Her readings on Freud were stirring.
excitement	 I feel excited.	 I know she is excited about this idea.
bevy	 A bevy of smiling nurses greeted me.	 The scattered bevy of security guards occupied their respective positions.
utility	 There is a shortage of fresh water because of the lack of a workable plan for a modern utility.	 The Grand Duke graciously shewed us a range of utilities in the tender pink light of the early spring.
fringe	 Her long hair skimmed her bare shoulders offering a tantalizing glimpse of her sleeveless dress while the waist of her skirt brushed the floor, hinting at the length of her fringe.	 Press on the fringe of the rug with the iron to erase the imprint of the
humor	 He has a dry sense of humor.	 He mixed humor with pathos.
birth	 She's six months pregnant and about to give birth.	 Her birth was remarked on by all.
confluence	 The confluence of the rivers.	 The confluence of opinion.
beachhead	 We must secure our beachheads.	 He's defending the beachhead.
judge	 The Japanese judge.	 One Israeli judge was not present.
property	 He had to take out a loan for property to purchase.	 Impeachment from the property of the freehold.
inwardness	 No artist's inwardness can withstand analysis.	 His deep inwardness was intuitive and shrouded in mystery.
rock	 The history of the rock and roll period.	 The hard rock band was a little difficult.
wealth	 She possessed great wealth.	 They lived in penury.
outwardness	 looking our the window.	 The outward appearance of truth.
significance	 The significance of this vote is obvious.	" What are the social significance of the movie ""Midnight Cowboy""?"
person	 Not a soul was to be seen.	 This is a personal matter.
vault	" ""There's no place like home."""	 Your family keeps generations of memories safe in its highly secure vault.
coverage	 Surprised that no one from the media were covering the story, He watched as the coverage from another network.	 But the storm's coverage is a total mystery.
year	 I graduated from High School last year.	 He had been a senior manager for five years before losing his job.
adultery	 The adultery case attracted widespread attention.	 They broke up because of the long-standing adultery.
header	 The football player dribbled and kicked the ball and sent it in a high angled downwards header down the center line toward the goal.	 The music was playing in a wavering and sailing way and Mickey Bassey was singing in her low, sultry voice
center	 The Centre Centreville.	 The Newark Center.
missus	 Her missus is a pain.	 We all loved his missus.
limitation	 The limitation on his freedom made him angry.	 The engineering limitations of the bridge prevented him from crossing.
sum	 This sum is too large.	 It is an even lower sum.
charger	 It was just an early-morning charger to the Acme store.	 He had worked out a way to surround himself with air.
branch	 Some people cut off their own branch of the family tree.	 She liked the thawing branch...
neck	 He grabbed her by the neck.	 When was the last time you seen his neck?
wear	 She was wearing the most exquisite of clothes.	 We're looking for clothes that wear well.
rub	 What are you rubbing the glass with?	" I just got back from the ""rub."""
derivation	 The derivation from the Spanish.	 The derivation from Alice in Wonderland?
breath	 She gasped out her last breath.	 She breathed a sigh of relief.
return	 I wanted to wait a little bit longer but they gave me no chance to return.	 Joe was about to return to his home, where he wished to devote himself to science.
pass	 Rory Maclachlan passed the ball to Adrian Hoopton.	 Pass it back.
quarter	" ""No,"" I said, and shook my head."	 and reached and took its thumb and index finger and twirled it into a quarter-inch or so-they were long, long fingers-
peeler	 The peeler came off in her hand.	 I don't know where you can find a frying pan these days.
right	 The cop on the right seemed unconcerned.	 The law is on the right side.
gravitation	 Gravity is a law of gravitation.	 Gravity was a 2003 film that Robert Zemeckis directed.
copy	 The War and Peace in French is 584 pages in its printed edition.	 He photocopied her.
loan	 I need a loan.	 The interest will more than cover the cost of the loan.
hand	 This is my hand.	 He lost his favorite toy when she let go of his hand.
structure	 The structure is beautiful in an older sort of way.	 His structure has shown that dinosaurs got vertically into the tar pits.
drag	 Live drag queens at the ball.	 Trina has a cherry red airbrushed Ford with a paint job that could be classified as a criminal assault.
shock	 My stomach lurched, my eyes were glued to the screen, my mouth agape with shock.	 I heard you saying my name but it came as a shock.
soul	 She looked at him in horror, her once white soul now tainted by his words.	 Her soul left with barely a whisper of justice.
title	 his title passes over to his eldest daughter.	 He gave me a dark stare and flashed his silver teeth in a mock smile.
mother	 His mother was his only family.	 Every year she would send us gifts from her mother.
principle	 I want to know, forthwith, the principle involved.	 Let every wife be subordinate to her husband.
plan	 The plan for the British Royal Family.	 The plan to reform the US healthcare system.
reversal	They ordered the reversal of the judgement.	This artist is well known for his often surrealistic paintings with reversals, like the Mona Lisa with her dog in the foreground.
didacticism	 Readers will be bored by the didactic tone.	 I found this essay to be didactic.
water	 The clear, refreshing water splashed upon his face.	 People lined the water to perform the purification ritual.
vote	 A vote for Brian.	 A show of hands for Jenny?
unit	 Aaron's unit was being attacked.	 Roberta's unit had been out on a patrol.
carnival	 Throughout the five-day carnival, citizens of the city do not work.	 For forty-days Celibrada plays with dolls on the eve before Ash Wednesday.
explosion	 An explosion in the news.	 This year's World Cup was one of the most exciting explosions in sport.Antoine Fuqua remains unusually seductive and exciting with this latest recreation of a 1994 Broadway cult success.This year's World Cup was one
shot	 Please put your hands where I can see them.	 He felt her anger punch through him with a shot of pure adrenaline.
matter	 Matter is all around us.	 The issue is a matter of considerable debate.
courage	 I admire his courage.	 She sings of the courage of heroes
invitation	 Every Thanksgiving there were at least 6 invitations that came in the mail.	 He knew his dinner invitation had gone out several days before.
concern	 I read about her concern for the environment.	 His new concerns flooded her with disappointment.
key	 His key made the lock turn.	 She handed the key to him.
weapon	 She promised time to weaponday.	 Police discovered the weapon's traces at the scene.Noun
cycle	 Cyclist Sue's cycle.	 Pulling the refuse cart endlessly around the city's meager cycling rings.
push	 Quite a determined push.	 She shoved him into the bushes.
shower	 I woke up and went for a shower.	 They took a shower after their workout.
state	 The State of Texas.	 His state of mind.
bid	 The studio took their bid for the job.	 I understand that you claimed this morning that our opening offer is to high.
top	 Buy the polka-dot top.	 Put your messages at the top of the list.
face	 but the hard, dry, winter winds whipped her freckled face raw as she climbed to the cabin.	 as she sniffed her burnt face.
tongue	 The girl had a swollen tongue.	 His tongue is blue.
break	 She was busy, so she asked him to get a coffee break.	 There is a five-minute break between exams.
division	 the population of the UK and Ireland and the population of Great Britain and Northern Ireland.	 The school did not break the boys into divisions.
grave	 It was these long, long walks that told him of his love.	 She went straight to her small round grave, where she knelt and prayed.
exercise	 The exercise after practice helps the muscles to get stronger.	 His essay was exercises in juvenile bravado.
corner	 The corner of the table.	 Her skin was burning up from his touch on her corner.
range	 Had central heating and a kitchen accessory to help you with your baking soda and vinegar range, these liquids.	 The little show I gave you the other day was the result of months of preparation, a few fortunate breaks, and a whole lot of hard work.
pursuit	 Her delicate sensibilities were offended by the sight.	 The pursuit of happiness was guaranteed only to the Americans.
shade	 She needs to find cover from the shade.	 We shade out areas we want to keep cool.
truth	 Naturally, truth was not so easily attained.	 The book is based on the truth.
cold	 The wind made it bitterly cold outside.	 India is in the grip of a severe cold wave.
token	 I don't like to cash in all of my tokens on one game.	 He searched for some token of recollection of them all, of theNoun
love	 They have been in love since they were kids.	 It was the most sincere love letter I have ever read.
thought	 The thought hung out in her mind.	 I had a terrible thought.
dogma	 It's just an unproven dogma.	 The Whigs were his willing accomplices in this dogma.
season	 The winter season.	 Spring was in full season now.
deference	 There is great deference shown by the lower classes towards their superiors.	 I'll grant him that deference.
study	 Their at-home study session.	 She enrolled in an online study course.
speck	 The school was vastly inferior to the speck of dust.	 Stay away so these specks don't get on the rug.
trojan	 People disgusted in their usage of trojans should switch to condoms.	 The trojan horse in the war against Troy legend was used in deceit to sneak in an enemy.
trick	 Jack pulling the old trick of pretending to blow his nose.	 It was a tricky one to answer, but I am sure that eventually the hotel keeper will fall for the same trick .
inclusion	 On Netflix, you can search for TV shows including Sherlock, or inclusion of details.	 You will not be qualified for membership if you do not meet the criteria of inclusion.
role	 Despite this, he played his role.	 The volume printed by the printer's driver's role.
boss	 What did your boss say to get you that job?	 I've always wanted to be the boss.
footage	 It was considerably less than he’d intended but apart from a few, brief sequences, there were no other available related footage.	 In the last ten years he’d collected almost two hundred fifty hours of footage from concerts, television appearances, and interviews
membership	 High traffic resulted in the loss of thousands of memberships .	 These two corporations issued individual memberships to secure their future.
floor	 Her parents had had it renovated, with a hardwood floor.	 Search crews discovered a human skeleton on a second story floor of a burned out building.
wall	 We are living in a walled bubble.	 Of her house, strangely enough, all that remained was the foundation , the ground-glass panels, the walls insuring the enclosure .
miracle	 Medical experts studied the process and were unable to determine the cause of the miracles.	 Simeon and Anna and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and
today	 This year's new trendy drink was already on sale in some grocery stores - some even put it out on the shelves today.	 I'll be by later on today.
remission	 The cancer has been in remission for two years now.	 In an effort to avoid a relapse, the bishop wished that God would grant him a remission from the Latin sentence.
comfort	 Long summery evenings are giving way to crisp mornings where comfort can be found.	 Patricia wanted to leave the valley of Daberk, the outpost of great discomfort.
sake	 For the time being, can we move this meeting to another day?	 We may take this into account for the sake of fairness.
tune	 My dog won't stop howling to the tune of one song.	 The conductor found her violin's tuning to be perfect.
survey	 A survey of the citizens opinions revealed the possibility of 100% sales.	 Eye buy survey 98% of your day.
entreaty	"""Please leave your entreaties at the door,"" she said."	They made entreaties of their subjects to obey them.
proficiency	 Breaking his long silence, the lemur at last demonstrated his proficiency in the king's tongue.	 He beckons to teach people in their own language, not just English, simple expressionsNoun
queen	 Lot 's wife became a pillar of salt when she denied the angel like the Queen in the British stories.	 A marble queen dominates the skyline.
competition	 His company was in competition with Ammon.	 The Algorithmic Problem Solving Competition is on its sixth sequel.
trouble	 Eventually, he couldn't handle his partners ' trouble any more.	 He's left me in all this trouble .
door	 The homeowner noticed that one of the doors was unlocked.	 Storm's crowing was heard through the cracked open door.
vocabulary	" The word ""infantry"" is a word from the vocabulary of the military person."	 The vocabulary constructed for the book is excellent.
readiness	 Please offer your full cooperation to help us with this transition, as we need to be as ready as possible as soon as possible for this deployment.	 He resolved to do all he could to be ready as soon as possible.
connection	 Toward the end of his life, he was looked upon as more of a celebrity, with various connections to the popular culture of the late 20th century.	 He was able to pinpoint the connection between the two.
fire	 A fire crew extinguished a stubborn fire in a rubbish dump.	 A former firefighter faced 25 years in prison after setting fires with crude oil
traffic	 Current average speeds clocked from traffic cams all around the town.	 Another school of cars just zoomed by us.
component	 Finally, inserting the card's component completed the process.	 Each component of the chair is made in the same way.
form	 The form on the deck looked solid to me.	 The law imposes stringent all-encompassing requirements for documentation or proof of financial stability.
bankruptcy	 As soon as it began to look like bankruptcy was likely, the fortunes of the small business declined.	 The board of directors declared bankruptcy with nervous stares borne of recent lawsuits.
tendency	 Before the tendency towards increasing different political views reached critical demand, the government still had the power to stop the earthquake.	 Today, high-end HP computers are not cheap.
name	 Alex could not keep his name secret for long.	 The speaker could remember the exact date when his daughter was given her name.
slack	 Bob was so consumed by slack work that he forgot to luncheon .	 The family had a roll of extra slack in the kitchen.
score	 The defending team 's one point score in the final minute would not be sufficient to win in a tie.	 The baseball team got a ten run score in the fourth inning
staple	 He chilled on the beach , staring at the shining green wave where the currents met at the edge of the beach .	 The sugar beet was nurtured then stabbed though with thin wire pierced on either side of the green plant at it raced to the top of the grey field
difference	 The only difference between henna and indigo is in the intensity of their colors.	 The difference between green and blue is that green light always mixes with yellow.
orbit	 This planet orbits so close to its sun.	 The ISS orbits Earth at a height of 250 miles.
vermin	 These cockroaches are not vermin; they are my pets.	 The vermin wouldn't allow us to simply wander through their domain.
echo	 On the morning of the 18th, an echo of the voice of Fate was heard.	 I couldn't tell how far the echo was coming from.
depth	 The depth of color can be adjusted by using a diffuser.	 We dove down to see the depth of the wreck.
education	 Due to education, he decided to get back to college.	 Education plays an important part in his life.
likelihood	 The chances of someone being in a given location in a certain time frame is a key calculation for a search and rescue team.	 While the high probability of someone being near home when they have been kidnapped increases the chance for a quick and safe rescue, the low likelihood of
throat	 He was calmed by the wet cloth her used to soothe away the dryness in her throat.	 Research has shown that more than 80% of sore throat cases are caused by viruses or bacteria.
safety	 The safety of the vast majority of skiers and snowboarders is critical.	 The reports of the safety committee are in the in-box.
ground	 The ground was covered with snow.	 Beneath the first layer of topsoil, their first discovery of topsoil was over five feet of hard crackling ground .
ear	 Her ear was the only sensitive organ that survived.	 He's afraid to show her his insecurities.
convention	 The historian denounced the convenant as folly.	 The convenant is sure to increase sales.
restraint	 The door had some residual restraint that some wouldn't want to tamper with.	 One of the exercises had some hand restraints hidden just behind a fake bookcase.
hall	 It took a better part of the day to plaster the chicken guts off the walls of the lakeside hall.	 The students stopped to admire the dinosaur footprints in the limestone hall.
formula	 I used this formula in the last chapter.	 That famous formula for estimating weight?
dent	 Remove excess water with towel and fill with up to 2 inches of rice dish soap for thirty minutes.	 A light jolt causes up to $8,000 worth of damage, but cars can be saved by the application of dents.Sentence 1
hegemony	 Hegemony is currently dominated by the United States.	 India is expected to overtake the U.S. as the world's soon-to-be foremost hegemon.
gift	 Which gift did you give her again?	 They always complained about her gift giving.
pledge	 Just like Kerry did, Bush took a pledge for stricter CO2 regulation.	" And like Kerry, Bush took a pledge against ""soft money."""
history	 Act of succession - an event in which a monarch dies and the throne is usurped, or sometimes voluntarily surrendered, by a relative or by someone outside the immediate family of the monarch.	The sequence of id event 
reenactment	They're going to reenact the Civil War tomorrow at Patterson Park.	 The shirt included a reenactment of a woman suffragette.
tautology	 Wilson was a man of simple tastes , he barely knew the meaning of the word 'tautology'  Sentence 2	 restSentence 1
text	 The stories unfold like texts on one's phone.	 The photographs are dotted with the out-of-focus texts of the surrounding city.
tear	 He pulled her nearer, reached for the knot in the scarf, his hands unwinding the fabric while he restored the tear in their intimate connection.	 His eyes wet with tears, he looked back at Humphrey, thinking of all the years they had spent together.
squeeze	 His sister gripped his arm until the pain was too much to stand.	 He reached for her but her fingers squeezed him tight.
sale	  How long is the sale at the mall ?	  The one-day blitz -
panel	 We will assess applications before interviewing any applicants.	 The proposed programme will focus on teaching them how to work with high potential students.
softness	 Running fingers through her silky hair, he knew she was the one.	 He watched her long fingers moving across his back, stroking, easing, loosening knots of tension.
cut	 After reading the novel, I'm feeling a little cut out from the world.	 That iron should be replaced because it's been cut from the water tank.
memorability	 It is important to remember that while some things may be more memorably than others, the brain learns more easily when alarm bells start ringing.	 My new haircut makes me look less memorable at first glance, but there's no hiding it in this crowd.
clap	 At the head of the room, he encountered a round man with one arm in a cast, who no doubt knew how to handle his claps.	 She was generally enjoying her applause.
meaning	 The water table ’s meaning in geology is to identify underground water-bearing bedrock.	 His speech had the same impact with a meaning that scientists felt.
acquisition	 He does not wish to make any further acquisition until he had cleared the shelves of his warehouses.	 The world of sports is awash with acquisition.
trombone	 I bought it at a yard sale for $15.	 No more than five of them were in the school orchestra.
stock	 I fed the pigs slice after slice of stock branded beef.	 The stock market crashed in 1929.
absence	 I was disappointed by the teacher's absence from the board.	 Tyler tucked his finished project into his bag and left it behind because of the teacher's absence.
threat	 There is no need to panic.	 Every so often, I get a threatening email.
people	 The people started laughing.	 All people are different.
snorter	 The snow was quickly covering the treacherous patches of ice left by the snorter that had blasted through hours ago.	 Jake was riding the bumper of the car in front of him, afraid that the snorter coming up behind would breakdown.
war	 Mothers who sent their sons to the war's frontline were devastated by the loss.	 She never complains that I don't spend enough time with her, even though I'm often at war with my boss.
respect	 I have the same respect for this dictionary as I do for any book on any bookshelf.	 The coach demanded complete respect from the players on the field.
shtik	 Sammy was curious about what Shtik had mentioned while he was going to get cigarettes.	 So, I sliced a couple of each type of fruit and then I cut the cheese into shtik's too.
waste	 Waste can represent a huge expense for a business.	 Communities also produce waste.
liking	 The farmer showed no liking for the young Duke.	 The Duke showed no liking for the young farmer.
prescription	 Louise left the pharmacy with her prescription .	 Erica picked up her prescription at the pharmacy.
production	 Production and fabrication account for 54% of Fremont Industries' operating costs.Sentence 2	 houseSentence 1
change	 The Senate Republican leadership changed their procedural rules.	 We need to make some changes in the system .
window	 There were so many windows, grand and tall, grand and tall, a stunning marvel of a building.	 A tall, wide window afforded a beautiful view of a cheerful garden with a tall fountain where a small family of deer drank from their covered cylindrical pop-
satisfaction	 Her goal is to deliver you customer satisfaction.	 The new iPhone has won industry satisfaction.
occasion	 Mixed floral arrangements, on the other hand, can highlight and complement the occasion.	 I find that on some occasions, at some high tides, we're able to see the light on the opposite shore.
metric	 There's now even Metric by Jimmy Buffett album.	 But at least it's in Metric.
engagement	 Before spending an eternity with their daughter-in-law, they wanted to date other people.	 The gentleman made it clear he wasn't about to propose to their daughter for lack of enviable quality engagement.
degree	 The research he presented as part of his undergraduate thesis received a degree of criticism.	 I wish our company had a level 8 degree of competence.
crunch	 Eating raw veggies gives you a wonderful fresh crunch.	 The crisp green leaves crackled like fire in frost Noun
lightning	 Lightning flashes in the sky outside.	 They watched it across the course occasional flashes of lightning.
institution	 She's devoted her life to the institution of marriage.	 A new equity-birthing entity might be just the neighborhood institution our cities need.
containment	 We have a containment protocol in place.	 He has a containment device that keeps pests in trenches trenches.
run	 We took off to get the score before the run started.	 I went for beer during the two minute run.
visibility	 We enjoyed decent visibility until the morning fog rolled in.	 If visibility is good, you'll be able to notice much more when riding.
example	 If you want an example of how the funds are allocated, then I’ll send one over.	 They need to do more research, not rely on the examples of the past.
now	 Now is the moment for open and honest vocabulary.	 We hope to find success in now and we do not want to ruin our goals.
reproduction	 I’ve never seen anything of the sort before, but word on the street is that some people are able to reproduce memories.	 Ever since she was old enough to reproduce drawings herself, her father would push pins into the paper for her.
sight	 He gave her one good look, then hurried away.	 Please come less than a mile past the orange tree, make a left at the red brick, and you'll get the first sight of the ocean.
collision	 It is hard to avoid a head-on collision.	 There is always a chance of a collision, even when your hands are on the wheel.
sex	 He enjoys a high sex drive.	 We talked sex versus any other current topic.
class	 A great oral history class with lots of group assignment is too much class time for me to take on.	 He wore the same brown corduroy jacket for class every day, but he never wore denim jeans.
helm	 It's my first time skippering a boat.	 The helm of this ship was very fragile.
leach	 Dew leached the clay pipe's field.	 The bacteria leached the salt.
control	 He controls the smoke cloud to avoid other people passing by.	 She controls her behaviour to avoid dangerous situations.
get	 I am trying to get out of debts.	 They got me halfway to Tennessee.
empty	 My doctor instructed me to empty my bowels before my appointment.	 I emptied the jar on the window sill.
build	 The builders built a bridge over the lake.	 She built herself a lovely cabinet.
lash	 She lashed out at her brother.	 The rebels lashed in vain for a better world.
lay	 I sit down on the bench to lay down.	 I lay around the house not doing much.
touch	 His touch will no longer be welcome.	 Where have you been touching?
ping	 We are pinging your server.	 This ping-pong ball is annoying.
shelve	 We're trying to get her to shelve her novel.	 I have something to put on your bookshelf.
match	 We match shapes with shapes.	 He matched the woman's face with the newspaper.
poise	 The picture had such excellent balance and poise.	 She poised the arrow that arrow that was knocked from her hand.
empathize	 Empathize with my problems, will you?	 When they produce amusing comments, do not empathize with them by smiling; but, on the contrary, let your eyebrows knit together violently.Sentence 1
shake	 We shook off our pursuers.	 The bartender has shaken the drinks too much.
write	 I'll write an explanation for you.	 You can write down the order.
laugh	 He laughs loudly.	 I laugh loudly.
fire	 I was fired from my job.	 The company fired him.
couple	 They are just hanging out together.	 They are just hanging out together.
cast	 I cast a spell.	 She cast a glance his way.
breakfast	 We had breakfast.	 He spent the morning eating breakfast.
remove	 Rigoberto removes the callouses from his feet.	 She removed the blood from her arm with a cotton ball.
eat	 I want to eat before I leave.	 They ate while walking.
hold	 I can't hold it!	 She's shared shared the load.
refund	 I will refund your money.	 I want my money refunded.
